Type,Identification,Field,Locale,Status,Default content,Translated content
METAFIELD,'20169339600944,value,fr,,Leaves bar deodorant is made with natural gentle absorbing and neutralizing actives to provide long-lasting protection against odors and wetness.,
METAFIELD,'20169339633712,value,fr,,Canada,
METAFIELD,'20169339666480,value,fr,,Attitude,
METAFIELD,'20169339699248,value,fr,,85.0g,
METAFIELD,'20169339732016,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169339764784,value,fr,,"Featuring our innovative push-up design, its all-cardboard packaging greatly contributes to reducing our daily plastic consumption.

EWG verifed baking soda-free formula suitable for sensitive skin

Contains magnesium hydroxide to fight bad smel

Contains white clay to naturally absorb humidity

",
METAFIELD,'20169339797552,value,fr,,"Magnesium hydroxide, cocos nucifera (coconut) oil, butyrospermum parkii (shea) butter, kaolin, undecane, tridecane, helianthus annuus (sunflower) seed wax, coco-caprylate/caprate, ricinus communis (castor) seed oil, behenyl behenate, polyhydroxystearic acid, euphorbia cerifera (candelilla) wax, simmondsia chinensis (jojoba) seed oil, nasturtium officinale (watercress/cresson) extract, tropaeolum majus (Indian cress/capucine) extract, helianthus annuus (sunflower) seed oil, phenetyl alcohol*, linalyl acetate*, pentadecalactone*, methyldihydrojasmonate* triethyl citrate*, *fragrance (parfum).",
METAFIELD,'20169339830320,value,fr,,626232171235,
METAFIELD,'20169339863088,value,fr,,137358,
METAFIELD,'20169339895856,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169339928624,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169339961392,value,fr,,Leaves bar deodorant is made with natural gentle absorbing and neutralizing actives to provide long-lasting protection against odors and wetness.,
METAFIELD,'20169339994160,value,fr,,Canada,
METAFIELD,'20169340059696,value,fr,,Attitude,
METAFIELD,'20169340092464,value,fr,,113.0g,
METAFIELD,'20169340125232,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169340158000,value,fr,,"Enriched with argan oil: nourishing, occlusive and antioxidant. Rich in  omega 6 and 9 argan oil brings shine and suppleness to dry and damaged  hair..

Formulated with natural plant and mineral-based ingredients to  amplify hair thickness.

Ideal for hair that lacks volume and shine.

",
METAFIELD,'20169340190768,value,fr,,"Sodium cocoyl isethionate, stearic acid, cocos nucifera (coconut) oil,  theobroma cacao (cocoa) seed butter, sodium coco-sulfate, butyrospermum parkii (shea) butter,  argania spinosa (argan) kernel oil, illite, panthenol, inulin, hydrolyzed soy protein, glycerin, nasturtium officinale (watercress/cresson) extract, tropaelum majus (Indian cress/capucine) extract, gamma-decalactone*, ethyl hexanoate*, ethyl 2-methylbutyrate*, hexyl calicilate*, raspberry ketone*, triethyl citrate*, *fragrance (parfum).",
METAFIELD,'20169340223536,value,fr,,626232171303,
METAFIELD,'20169340256304,value,fr,,137359,
METAFIELD,'20169340289072,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169340321840,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169340354608,value,fr,,"Contains revitalizing yellow ochre clay: this natural mineral-based active is known to stimulate hair growth and revitalize strands, giving the
appearance of more voluminous and shiny hair.",
METAFIELD,'20169340387376,value,fr,,Canada,
METAFIELD,'20169340420144,value,fr,,Attitude,
METAFIELD,'20169340452912,value,fr,,113.0g,
METAFIELD,'20169340485680,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169340518448,value,fr,,"Ideal for dry and damaged hair.

Formulated with natural plant and mineral-based ingredients to restore and  strengthen the hair.

Enriched with avocado oil: nourishing, occlusive and rich in vitamins A, E  and D. Penetrates the hair fibre and brings shine and softness to the hair.

",
METAFIELD,'20169340551216,value,fr,,"Sodium cocoyl isethionate, stearic acid, cocos nucifera (coconut) oil, butyrospermum parkii (shea) butter,  theobroma cacao (cocoa) seed butter, sodium coco-sulfate, persea gratissima (avocado) oil, montmorillonite,  glycerin, panthenol, inulin, nasturtium officinale (watercress/cresson) extract, tropaelum majus (Indian cress/capucine) extract, triethyl citrate*, dihydrofarnesol *, beta-ionone*, amyris balsamifera bark oil*, juniperus virgiana oil*,*fragrance (parfum).",
METAFIELD,'20169340583984,value,fr,,626232171310,
METAFIELD,'20169340616752,value,fr,,137361,
METAFIELD,'20169340649520,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169340682288,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169340715056,value,fr,,"Contains moisturizing green blue clay: this natural mineral-based active is added to our formula for its deep moisturizing and cleansing properties, leaving hair well hydrated and ready to absorb nourishing actives.",
METAFIELD,'20169340747824,value,fr,,Canada,
METAFIELD,'20169340846128,value,fr,,Attitude,
METAFIELD,'20169340911664,value,fr,,113.0g,
METAFIELD,'20169340944432,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169340977200,value,fr,,"Ideal for dull, dry hair.

Formulated with natural plant and  mineral-based ingredients to  moisturize, restore and protect the  hair, deeply hydrate and add shine.

Enriched with ricin oil: nourishing,  moisturizing and emollient.

",
METAFIELD,'20169341009968,value,fr,,"Sodium cocoyl isethionate, stearic acid, cocos nucifera (coconut) oil, butyrospermum parkii (shea) butter, theobroma cacao (cocoa) seed butter, sodium coco-sulfate, ricinus communis (castor) seed oil, montmorillonite, illite, glycerin, panthenol, inulin, nasturtium officinale (watercress/cresson) extract, tropaelum majus (Indian cress/capucine) extract, triethyl citrate*, methyldihydrojasmontae* ethyl linalool*, linalyl acetate*, juniperus virgiana oil*,*fragrance (parfum).",
METAFIELD,'20169341042736,value,fr,,626232171327,
METAFIELD,'20169341075504,value,fr,,137362,
METAFIELD,'20169341108272,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169341141040,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169341173808,value,fr,,"Contains restorative pink clay: this natural mineral-based active is known to detoxify and to help restore moisture into hair strands, making hair feel softer and well hydrated.",
METAFIELD,'20169341206576,value,fr,,Canada,
METAFIELD,'20169341239344,value,fr,,Attitude,
METAFIELD,'20169341272112,value,fr,,113.0g,
METAFIELD,'20169341304880,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169341337648,value,fr,,"Ideal for hair with product or grease build-up.

Formulated with natural plant and mineral-based ingredients to provide  deep cleansing and restore brilliance.

Enriched with jojoba oil: nourishing and emollient, it is one of the  ingredients closest to the composition of skin sebum.

",
METAFIELD,'20169341370416,value,fr,,"Sodium cocoyl isethionate, stearic acid, cocos nucifera (coconut) oil,  theobroma cacao (cocoa) seed butter, sodium coco-sulfate, simmondsia chinensis (jojoba) seed oil, illite, glycerin, panthenol, inulin, nasturtium officinale (watercress/cresson) extract, tropaelum majus (Indian cress/capucine) extract, phenethyl alcohol*, linalyl acetate*, pentadecalactone*, methyldihydrojasmonate*, triethyl citrate*, *fragrance (parfum).",
METAFIELD,'20169341403184,value,fr,,626232171334,
METAFIELD,'20169341435952,value,fr,,137363,
METAFIELD,'20169341468720,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169341501488,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169341534256,value,fr,,"Contains protective yellow Clay: this natural mineral-based active is added to our formula to help protect the hair and absorbs excess oil, leaving hair with a deep cleanse feeling and feeling strong.",
METAFIELD,'20169341567024,value,fr,,Canada,
METAFIELD,'20169341665328,value,fr,,Attitude,
METAFIELD,'20169341698096,value,fr,,113.0g,
METAFIELD,'20169341730864,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169341763632,value,fr,,"Ideal for hair that lacks volume and shine.

Formulated with natural plant and mineral-based ingredients to  amplify hair thickness.

Enriched with argan oil: nourishing, occlusive and antioxidant. Rich in  omega 6 and 9 argan oil brings shine and suppleness to dry and damaged  hair.

",
METAFIELD,'20169341796400,value,fr,,"Cetearyl alcohol, behentrimonium methosulfate, theobroma cacao (cocoa) seed butter, tapioca starch, cocos nucifera (coconut) oil, decyl glucoside, argania spinosa (argan) kernel oil, helianthus annuus (sunflower) seed oil, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, gamma-decalactone*, ethyl hexanoate*, ethyl 2-methylbutyrate*, hexyl salicylate*, raspberry ketone*, triethyl citrate*, *fragrance (parfum)",
METAFIELD,'20169341829168,value,fr,,626232171402,
METAFIELD,'20169341861936,value,fr,,137364,
METAFIELD,'20169341894704,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169341927472,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169341960240,value,fr,,"Contains revitalizing yellow ochre clay: this natural mineral-based active is known to stimulate hair growth and revitalize strands, giving the 
appearance of more voluminous and shiny hair.",
METAFIELD,'20169341993008,value,fr,,Canada,
METAFIELD,'20169342058544,value,fr,,Attitude,
METAFIELD,'20169342091312,value,fr,,113.0g,
METAFIELD,'20169342124080,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169342156848,value,fr,,"Ideal for dry and damaged hair.

Formulated with natural plant and mineral-based ingredients to restore and  strengthen the hair .

Enriched with avocado oil: nourishing, occlusive and rich in vitamins A, E  and D. Penetrates the hair fibre and brings shine and softness to the hair.

",
METAFIELD,'20169342189616,value,fr,,"""Cetearyl alcohol, theobroma cacao (cocoa) seed butter, tapioca starch, behentrimonium methosulfate, cocos nucifera (coconut) oil, butyrospermum parkii (shea) butter, decyl glucoside, persea gratissima (avocado) oil, helianthus annuus (sunflower) seed oil, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, triethyl citrate*, dihydrofarnesol*, beta-ionone*, amyris balsamifera bark oil*, juniperus virginiana oil*, *fragrance (parfum)**.
**Naturally contains limonene. """,
METAFIELD,'20169342222384,value,fr,,626232171419,
METAFIELD,'20169342255152,value,fr,,137366,
METAFIELD,'20169342287920,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169342320688,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169342353456,value,fr,,"Contains moisturizing green blue clay: this natural mineral-based active is added to our formula for its deep moisturizing and cleansing properties, 
leaving hair well hydrated and ready to absorb nourishing actives.",
METAFIELD,'20169342386224,value,fr,,Canada,
METAFIELD,'20169342484528,value,fr,,Attitude,
METAFIELD,'20169342517296,value,fr,,113.0g,
METAFIELD,'20169342550064,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169342582832,value,fr,,"Ideal for dull, dry hair.

Formulated with natural plant and  mineral-based ingredients to  moisturize, restore and protect the  hair, deeply hydrate and add shine.

Enriched with ricin oil: nourishing,  moisturizing and emollient.

",
METAFIELD,'20169342615600,value,fr,,"""Cetearyl alcohol, theobroma cacao (cocoa) seed butter, tapioca starch, behentrimonium methosulfate, butyrospermum parkii (shea) butter, cocos nucifera (coconut) oil, decyl glucoside, ricinus communis (castor) seed oil, helianthus annuus (sunflower) seed oil, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, triethyl citrate*, methyldihydrojasmonate*, ethyl linalool*, linalyl acetate*, juniperus virginiana oil*,*fragrance (parfum)**.
**Naturally contains linalool.""",
METAFIELD,'20169342648368,value,fr,,626232171426,
METAFIELD,'20169342681136,value,fr,,137367,
METAFIELD,'20169342713904,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169342746672,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169342779440,value,fr,,"Contains restorative pink clay: this natural mineral-based active is known to detoxify and to helprestore moisture into hair strands, making hair feel softer and well hydrated.",
METAFIELD,'20169342812208,value,fr,,Canada,
METAFIELD,'20169342844976,value,fr,,Attitude,
METAFIELD,'20169342877744,value,fr,,113.0g,
METAFIELD,'20169342910512,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169342943280,value,fr,,"Ideal for hair with product or grease build-up.

Formulated with natural plant and mineral-based ingredients to provide  deep cleansing and restore brilliance.

Enriched with jojoba oil: nourishing and emollient, it is one of the  ingredients closest to the composition of skin sebum.

",
METAFIELD,'20169342976048,value,fr,,"Cetearyl alcohol, behentrimonium methosulfate, theobroma cacao (cocoa) seed butter, tapioca starch, cocos nucifera (coconut) oil, decyl glucoside, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, phenethyl alcohol*, linalyl acetate*, pentadecalactone*, methyldihydrojasmonate*, triethyl citrate*, *fragrance (parfum).",
METAFIELD,'20169343008816,value,fr,,626232171433,
METAFIELD,'20169343041584,value,fr,,137368,
METAFIELD,'20169343074352,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169343107120,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169343139888,value,fr,,"Contains protective yellow Clay: this natural mineral-based active is added to our formula to help protect the hair and absorbs excess oil, leaving hair with a deep cleanse feeling and feeling strong.",
METAFIELD,'20169343172656,value,fr,,Canada,
METAFIELD,'20169343303728,value,fr,,Attitude,
METAFIELD,'20169343336496,value,fr,,113.0g,
METAFIELD,'20169343369264,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169343402032,value,fr,,"OLIVE OIL : Preserves the skin's moisture and suppleness.

COCONUT OIL : Protects and softens dry skin.

formulated with watercress and indian cress super leaves  for added performance.

",
METAFIELD,'20169343434800,value,fr,,"Sodium cocoate, propanediol, aqua/water/eau, sodium stearate, sodium olivate, glycerin, sodium cocoyl isethionate, sucrose, sodium chloride,nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, gamma-decalactone*, ethyl hexanoate*, ethyl 2-methylbutyrate*, hexyl salicylate*, raspberry ketone*, triethyl citrate*, *fragrance (parfum)",
METAFIELD,'20169343467568,value,fr,,626232171501,
METAFIELD,'20169343500336,value,fr,,137369,
METAFIELD,'20169343533104,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169343565872,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169343598640,value,fr,,The leaves bar body zero plastic soap collection is all about turning a daily routine into a luxurious eco-conscious experience. It offers a lavish shower experience thanks to a rich hydrating lather and indulgent fragrances that will leave skin smelling sublime.,
METAFIELD,'20169343631408,value,fr,,Canada,
METAFIELD,'20169343729712,value,fr,,Attitude,
METAFIELD,'20169343762480,value,fr,,113.0g,
METAFIELD,'20169343795248,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169343828016,value,fr,,"OLIVE OIL : Preserves the skin's moisture and suppleness.

COCONUT OIL : Protects and softens dry skin.

Formulated with watercress and indian cress super leaves for added performance.

",
METAFIELD,'20169343860784,value,fr,,"""Sodium cocoate, propanediol, aqua/water/eau, sodium stearate, sodium olivate, glycerin, sodium cocoyl isethionate, sucrose, sodium chloride, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, triethyl citrate*, dihydrofarnesol*, beta-ionone*, amyris balsamifera bark oil*, juniperus virginiana oil*, *fragrance (parfum)**.
**Naturally contains limonene.
""",
METAFIELD,'20169343893552,value,fr,,626232171518,
METAFIELD,'20169343926320,value,fr,,137371,
METAFIELD,'20169343959088,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169343991856,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169344024624,value,fr,,The leaves bar body zero plastic soap collection is all about turning a daily routine into a luxurious eco-conscious experience. It offers a lavish shower experience thanks to a rich hydrating lather and indulgent fragrances that will leave skin smelling sublime.,
METAFIELD,'20169344057392,value,fr,,Canada,
METAFIELD,'20169344319536,value,fr,,Attitude,
METAFIELD,'20169344352304,value,fr,,113.0g,
METAFIELD,'20169344385072,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169344417840,value,fr,,"OLIVE OIL : Preserves the skin's moisture and suppleness.

COCONUT OIL : Protects and softens dry skin.

Formulated with watercress and indian cress super leaves for added performance.

",
METAFIELD,'20169344450608,value,fr,,"Sodium cocoate, propanediol, aqua/water/eau, sodium stearate, sodium olivate, glycerin, sodium cocoyl isethionate, sucrose, sodium chloride, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, triethyl citrate*, methyldihydrojasmonate*, ethyl linalool*, linalyl acetate*, juniperus virginiana oil*,*fragrance (parfum)**.
**Naturally contains linalool.",
METAFIELD,'20169344483376,value,fr,,626232171525,
METAFIELD,'20169344516144,value,fr,,137372,
METAFIELD,'20169344548912,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169344581680,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169344614448,value,fr,,The leaves bar body zero plastic soap collection is all about turning a daily routine into a luxurious eco-conscious experience. It offers a lavish shower experience thanks to a rich hydrating lather and indulgent fragrances that will leave skin smelling sublime.,
METAFIELD,'20169344647216,value,fr,,Canada,
METAFIELD,'20169344679984,value,fr,,Attitude,
METAFIELD,'20169344712752,value,fr,,113.0g,
METAFIELD,'20169344745520,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169344778288,value,fr,,"OLIVE OIL : Preserves the skin's moisture and suppleness.

COCONUT OIL : Protects and softens dry skin.

Formulated with watercress and Indian cress super leaves for added performance.

",
METAFIELD,'20169344811056,value,fr,,"Sodium cocoate, propanediol, aqua/water/eau, sodium stearate, sodium olivate, glycerin, sodium cocoyl isethionate, sucrose, sodium chloride, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, phenethyl alcohol*, linalyl acetate*, pentadecalactone*, methyldihydrojasmonate*, triethyl citrate*, *fragrance (parfum).",
METAFIELD,'20169344843824,value,fr,,626232171532,
METAFIELD,'20169344876592,value,fr,,137373,
METAFIELD,'20169344909360,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169344942128,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169344974896,value,fr,,The leaves bar body zero plastic soap collection is all about turning a daily routine into a luxurious eco-conscious experience. It offers a lavish shower experience thanks to a rich hydrating lather and indulgent fragrances that will leave skin smelling sublime.,
METAFIELD,'20169345007664,value,fr,,Canada,
METAFIELD,'20169345105968,value,fr,,Attitude,
METAFIELD,'20169345138736,value,fr,,113.0g,
METAFIELD,'20169345171504,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169345204272,value,fr,,"SHEA BUTTER : Repairs and soothes dry skin.

AVOCADO OIL : Nourishes and improves the skin’s appearance.

Contains watercress and Indian cress super leaves for added performance.

",
METAFIELD,'20169345237040,value,fr,,"Sodium cocoate, propanediol, aqua/water/eau, sodium stearate, glycerin, sodium avocadate, sucrose, sodium cocoyl isethionate, sodium shea butterate, sodium chloride, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract,  gamma-decalactone*, ethyl hexanoate*, ethyl 2-methylbutyrate*, hexyl salicylate*, raspberry ketone*, triethyl citrate*, *fragrance (parfum)",
METAFIELD,'20169345269808,value,fr,,626232171556,
METAFIELD,'20169345302576,value,fr,,137374,
METAFIELD,'20169345335344,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169345368112,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169345400880,value,fr,,Leaves bar hand soap is made with natural gentle cleansing agents and is packed with hydrating plant-based actives to leave hands germs free without overdrying skin.,
METAFIELD,'20169345433648,value,fr,,Canada,
METAFIELD,'20169345466416,value,fr,,Attitude,
METAFIELD,'20169345499184,value,fr,,227.0g,
METAFIELD,'20169345531952,value,fr,,"Canadian

",
METAFIELD,'20169345564720,value,fr,,"Traps air pollutants and releases natural fragrances.

Contains activated carbon to trap particulate matter and other air pollutants.

Contains resin to neutralize odors (not mask them) for a long-lasting effect.

",
METAFIELD,'20169345597488,value,fr,,"1- Remove container lid and put aside.
2- Remove and discard freshness seal.
3- Put the lid back on the container.",
METAFIELD,'20169345630256,value,fr,,"Natural plant-derived fragrance, Activated carbon (air purifier)Resin (odor neutralizing and fragrance releaser)",
METAFIELD,'20169345663024,value,fr,,626232152289,
METAFIELD,'20169345695792,value,fr,,137375,
METAFIELD,'20169345728560,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169345761328,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169345794096,value,fr,,"Using plant- and mineral-based ingredients only, our natural air purifier will fill your room with the refreshing aroma of lavender and eucalyptus so you can kick back, relax and breathe easy for up to six weeks (depending on room size)!",
METAFIELD,'20169345826864,value,fr,,Canada,
METAFIELD,'20169345859632,value,fr,,Attitude,
METAFIELD,'20169345892400,value,fr,,227.0g,
METAFIELD,'20169345925168,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169345957936,value,fr,,"Traps air pollutants and releases natural fragrances.

Contains activated carbon to trap particulate matter and other air pollutants.

Contains resin to neutralize odors (not mask them) for a long-lasting effect.

",
METAFIELD,'20169345990704,value,fr,,"1- Remove container lid and put aside.
2- Remove and discard freshness seal.
3- Put the lid back on the container.",
METAFIELD,'20169346023472,value,fr,,"Natural plant-derived fragrance, Activated carbon (air purifier)Resin (odor neutralizing and fragrance releaser)",
METAFIELD,'20169346056240,value,fr,,626232152265,
METAFIELD,'20169346089008,value,fr,,137376,
METAFIELD,'20169346121776,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169346154544,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169346187312,value,fr,,"Using plant-based extracts, it’ll fill your room with the energizing aroma of pink grapefruit for relaxation, zen and wondering. Enjoy for up to six weeks (depending on room size).",
METAFIELD,'20169346220080,value,fr,,Canada,
METAFIELD,'20169346351152,value,fr,,Attitude,
METAFIELD,'20169346383920,value,fr,,227.0g,
METAFIELD,'20169346416688,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169346449456,value,fr,,"This detoxifying Natural Air Purifier for baby will deliver a safe, natural and comforting sweet apple scent that will last up to six weeks

 Contains activated carbon to trap harmful air particles and other air pollutants.

Free of potentially harmful artificial fragrances, phthalates and preservatives such as parabens, formaldehyde or formaldehyde-releasers.

",
METAFIELD,'20169346482224,value,fr,,1- Remove container lid and put aside. 2- Remove and discard freshness seal. 3- Put the lid back on the container. 4- Adjust to desired level of absorption and scent intensity.,
METAFIELD,'20169346514992,value,fr,,"Natural plant-derived fragrance, Activated carbon (air purifier)Resin (odor neutralizing and fragrance releaser)",
METAFIELD,'20169346547760,value,fr,,626232152128,
METAFIELD,'20169346613296,value,fr,,137377,
METAFIELD,'20169346678832,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169346711600,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169346744368,value,fr,,"This detoxifying Natural Air Purifier for baby will deliver a safe, natural and comforting sweet apple scent that will last up to six weeks. ",
METAFIELD,'20169346777136,value,fr,,Canada,
METAFIELD,'20169346809904,value,fr,,Attitude,
METAFIELD,'20169346842672,value,fr,,227.0g,
METAFIELD,'20169346875440,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169346908208,value,fr,,"This detoxifying Natural Air Purifier for baby will deliver a safe, natural and comforting sweet apple scent that will last up to six weeks

  Air Purifier lightly infused with a comforting natural scent.

Crafted with 100% worry-free, plant and mineral-derived ingredients.

",
METAFIELD,'20169346940976,value,fr,,1- Remove container lid and put aside. 2- Remove and discard freshness seal. 3- Put the lid back on the container. 4- Adjust to desired level of absorption and scent intensity.,
METAFIELD,'20169346973744,value,fr,,"Natural plant-derived fragrance, Activated carbon (air purifier)Resin (odor neutralizing and fragrance releaser)",
METAFIELD,'20169347006512,value,fr,,626232152135,
METAFIELD,'20169347039280,value,fr,,137378,
METAFIELD,'20169347072048,value,fr,,"Eco friendly household cleaners, health and beauty products and baby products.",
METAFIELD,'20169347104816,value,fr,,"May Contain:

 Egg (M)

 Dairy (M)

 Mustard (M)

 Peanuts (M)

 Seafood (M)

 Sesame (M)

 Soy (M)

 Sulfites (M)

 Tree Nuts (M)

 Wheat Gluten (M)

",
METAFIELD,'20169347137584,value,fr,,"ATTITUDE’s baby leaves™ Natural Air Purifier - Almond Milk-Good Night for baby, featuring activated carbon for a worry-free way to purify her nursery of odours, dust and pollutants.",
METAFIELD,'20169347170352,value,fr,,Canada,
METAFIELD,'20169347203120,value,fr,,Attitude,
METAFIELD,'20169347235888,value,fr,,227.0g,
METAFIELD,'20169347268656,value,fr,,"Canadian

Vegan

",
METAFIELD,'20169347301424,value,fr,,"This detoxifying Natural Air Purifier for baby will deliver a safe, natural and comforting sweet apple scent that will last up to six weeks

 Contains resin to neutralize odors for a long-lasting effect.

Air Purifier lightly infused with a comforting natural scent.

",
